Primary Org Id,Primary Org Name,Primary Org City,Primary Org State,Primary Org Country,ArXiv Id,Affiliation Sequence Number,paper_id
60257001,INP - Institut de Physique,Paris,Ile-de-France,France,2201.01300v1,35,2201.01300
60007493,Universität Bonn,Bonn,Nordrhein-Westfalen,Germany,2201.01648v2,2,2201.01648
60019656,Heriot-Watt University,Edinburgh,Scotland,United Kingdom,2201.01340v2,3,2201.01340
60104134,Khalifa University of Science and Technology,Abu Dhabi,Abu Dhabi,United Arab Emirates,2201.01626v1,4,2201.01626
60025858,ETH Zürich,Zurich,ZH,Switzerland,2201.01114v1,94,2201.01114
60022109,Queen Mary University of London,London,,United Kingdom,2201.01422v2,2,2201.01422
60127872,Key Laboratory of Mechanics in Energy Engineering,Shanghai,,China,2201.01500v1,1,2201.01500
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.01514v2,1,2201.01514
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.01576v3,1,2201.01576
60008088,Universidade de São Paulo,Sao Paulo,SP,Brazil,2201.01337v3,1,2201.01337
60002272,CY Cergy Paris Université,Cergy-Pontoise,Ile-de-France,France,2201.01848v2,4,2201.01848
60016908,Universität Heidelberg,Heidelberg,Baden-Wurttemberg,Germany,2201.01403v1,19,2201.01403
60032530,Université de Tours,Tours,Centre-Val de Loire,France,2201.01515v1,1,2201.01515
60011001,Kyoto University,Kyoto,Kyoto,Japan,2201.01253v1,1,2201.01253
60022020,University of Warwick,Coventry,West Midlands,United Kingdom,2201.01720v1,5,2201.01720
60122591,Purdue University System,West Lafayette,IN,United States,2201.01682v3,4,2201.01682
60013959,University of Florida,Gainesville,FL,United States,2201.01495v1,1,2201.01495
60122685,Institut de Mathématiques de Toulouse,Toulouse,Occitanie,France,2201.01514v2,1,2201.01514
60105586,Institut de Physique de Rennes,Rennes,Brittany,France,2201.01067v1,1,2201.01067
60013141,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Trondelag,Norway,2201.01572v1,8,2201.01572
60032211,University of Texas System,Austin,TX,United States,2201.01637v2,1,2201.01637
60112364,"Government of India, Ministry of Human Resource Development",New Delhi,,India,2201.01971v1,3,2201.01971
60033387,University of London,London,,United Kingdom,2201.01531v1,1,2201.01531
60018271,Institiúid Ard-Lénn Bhaile Átha Cliath,Dublin,Leinster,Ireland,2201.01267v2,3,2201.01267
60020583,The University of Alabama in Huntsville,Huntsville,AL,United States,2201.01114v1,98,2201.01114
60032983,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,The Hague,,Netherlands,2201.01222v3,3,2201.01222
60019647,Georgia Institute of Technology,Atlanta,GA,United States,2201.01114v1,102,2201.01114
60009563,Central European University,Vienna,Vienna,Austria,2201.01322v4,1,2201.01322
60000937,Shenzhen University,Shenzhen,Guangdong,China,2201.01560v2,1,2201.01560
